,NAIVE,HAR,GARCH,Best
Realized variance,-5.264881688829959,-5.4093953984517995,-5.3323849458087516,HAR
Range (GK),-4.875464511130084,-5.312211648748397,-5.3050861376058185,HAR
Close-to-close,96.67433160755544,-5.4166467009849315,-5.34873534944291,HAR
