Proxy,Comparison,Δ loss,NW s.e.,t,sig
Realized variance,HAR − NAIVE,-0.11903742612403645,0.04206146438641543,-2.830082781484943,*
Realized variance,HAR − GARCH,-0.10946832402880141,0.04565634090895876,-2.397658722740993,*
Realized variance,GARCH − NAIVE,-0.009569102095235031,0.0649718789364856,-0.14728067360633784,
Range (GK),HAR − NAIVE,-0.3789353954750151,0.09410426769920417,-4.026761003934997,*
Range (GK),HAR − GARCH,-0.03702566951283052,0.0786454555409803,-0.47079223151727195,
Range (GK),GARCH − NAIVE,-0.3419097259621846,0.14835562909147243,-2.304662978115724,*
Close-to-close,HAR − NAIVE,-103.74421517417436,40.07284286558375,-2.588890823697319,*
Close-to-close,HAR − GARCH,-0.06545302900093426,0.2120544668739205,-0.3086614017890514,
Close-to-close,GARCH − NAIVE,-103.67876214517341,40.07763432364923,-2.5869481543723274,*
