Proxy,Comparison,Δ loss,NW s.e.,t,sig
Realized variance,HAR − NAIVE,-0.14451370962184165,0.0448318911629558,-3.2234578081161134,*
Realized variance,HAR − GARCH,-0.07701045264304793,0.05102643372213564,-1.5092266306990652,
Realized variance,GARCH − NAIVE,-0.06750325697879371,0.07481410785126179,-0.9022797827516328,
Range (GK),HAR − NAIVE,-0.43674713761831224,0.10183542256546801,-4.288754606360434,*
Range (GK),HAR − GARCH,-0.007125511142577946,0.08082790776584138,-0.08815657041650227,
Range (GK),GARCH − NAIVE,-0.42962162647573426,0.15983399362714054,-2.6879239936777912,*
Close-to-close,HAR − NAIVE,-102.09097830854041,39.43056188200797,-2.5891332366512425,*
Close-to-close,HAR − GARCH,-0.06791135154202027,0.20852318784669505,-0.3256776967746545,
Close-to-close,GARCH − NAIVE,-102.02306695699836,39.4354164077729,-2.5870924222544573,*
