Evaluation proxy,HAR (fit on RV),GARCH,HAR − GARCH
Realized variance,-5.4093953984517995,-5.3323849458087516,-0.07701045264304796
Range (GK),-5.3824425191010015,-5.3050861376058185,-0.07735638149518298
Close-to-close,-5.451001242730767,-5.34873534944291,-0.10226589328785707
