,NAIVE,HAR,GARCH,Best
Realized variance,-5.369548609138812,-5.4885860352628475,-5.379117711234047,HAR
Range (GK),-5.006061348514544,-5.38499674398956,-5.347971074476729,HAR
Close-to-close,98.3104108848035,-5.433804289370831,-5.368351260369897,HAR
